Product Name,Price,Image URL,Link
"Lenovo IdeaPad Slim 3 15IAH8 Dizüstü Bilgisayar, 15.6"" FHD TN 250nits, Intel Core i5-12450H, 8 GB RAM, 512 GB SSD, Integrated Intel UHD Graphics, FreeDOS, 83ER000WTR",10.99900 TL,https://m.media-amazon.com/images/I/61wH5UlX-ML._AC_UL320_.jpg,https://www.amazon.com.tr/Lenovo-Bilgisayar-i5-12450H-Integrated-83ER000WTR/dp/B0CK84VL9X/ref=sr_1_1?dib=eyJ2IjoiMSJ9.cAStGyXY4Ttlop_Td9PZXiT8XUwEgMm5EFh6-h95Y1hWj9uUUBoaD8md3A4UjnjuIagUE3vJx3KnUi-JvH8cKk0HTEGAX8kO0Bhtc8QUjYa2l6_zy0ln6kP2qI_6Kxoh-nDmgMQKQl-tP6Q3U9i6Xdo8nrDd85-9hZEJrFyfJIHDVKHvBuVDoc8__xz73XZ515r2uBFMSt5cRM1v22ysRKWFcdViGJQCj0yZA6WUJqAwlS7Qbx81kqBIQYsncmEogGLZXwAk8vb032RdTv_eCvYz9uDT9D7To-w7UHkP2VrMV276jD3bNLuT6iBIwgFyMQ8yLp_hU-b_xy0aYApkCHejwbw8mlO-w_2rrCVVzck.Oyo7D-r7aZUqHTPMtdljGI-kKT6WVuVoCeztVUvTInw&dib_tag=se&qid=1738967976&s=computers&sr=1-1
"ASUS Vivobook 15 - X1504ZA-NJ1266 15.6 inç FHD (1920 x 1080) 16:9, i3-1215U, DDR4 8GB, 512GB M.2 NVMe PCIe 4.0 SSD, Intel UHD N/A, No OS, Dizüstü Bilgisayar",11.65900 TL,https://m.media-amazon.com/images/I/51dHk31mrQL._AC_UL320_.jpg,https://www.amazon.com.tr/ASUS-Vivobook-15-X1504ZA-NJ1266-Bilgisayar/dp/B08H1WX5MY/ref=sr_1_2?dib=eyJ2IjoiMSJ9.cAStGyXY4Ttlop_Td9PZXiT8XUwEgMm5EFh6-h95Y1hWj9uUUBoaD8md3A4UjnjuIagUE3vJx3KnUi-JvH8cKk0HTEGAX8kO0Bhtc8QUjYa2l6_zy0ln6kP2qI_6Kxoh-nDmgMQKQl-tP6Q3U9i6Xdo8nrDd85-9hZEJrFyfJIHDVKHvBuVDoc8__xz73XZ515r2uBFMSt5cRM1v22ysRKWFcdViGJQCj0yZA6WUJqAwlS7Qbx81kqBIQYsncmEogGLZXwAk8vb032RdTv_eCvYz9uDT9D7To-w7UHkP2VrMV276jD3bNLuT6iBIwgFyMQ8yLp_hU-b_xy0aYApkCHejwbw8mlO-w_2rrCVVzck.Oyo7D-r7aZUqHTPMtdljGI-kKT6WVuVoCeztVUvTInw&dib_tag=se&qid=1738967976&s=computers&sr=1-2
"Lenovo IdeaPad 3 Dizüstü Bilgisayar, Intel Core i3-1215U, 15.6"", 8 GB RAM, 256 GB SSD, FreeDOS, 82RK011BTX",17.09900 TL,https://m.media-amazon.com/images/I/61DQ67Cr2HL._AC_UL320_.jpg,https://www.amazon.com.tr/Lenovo-IdeaPad-Bilgisayar-i3-1215U-82RK011BTX/dp/B0CQTKWH2M/ref=sr_1_3?dib=eyJ2IjoiMSJ9.cAStGyXY4Ttlop_Td9PZXiT8XUwEgMm5EFh6-h95Y1hWj9uUUBoaD8md3A4UjnjuIagUE3vJx3KnUi-JvH8cKk0HTEGAX8kO0Bhtc8QUjYa2l6_zy0ln6kP2qI_6Kxoh-nDmgMQKQl-tP6Q3U9i6Xdo8nrDd85-9hZEJrFyfJIHDVKHvBuVDoc8__xz73XZ515r2uBFMSt5cRM1v22ysRKWFcdViGJQCj0yZA6WUJqAwlS7Qbx81kqBIQYsncmEogGLZXwAk8vb032RdTv_eCvYz9uDT9D7To-w7UHkP2VrMV276jD3bNLuT6iBIwgFyMQ8yLp_hU-b_xy0aYApkCHejwbw8mlO-w_2rrCVVzck.Oyo7D-r7aZUqHTPMtdljGI-kKT6WVuVoCeztVUvTInw&dib_tag=se&qid=1738967976&s=computers&sr=1-3
"ASUS Vivobook 15 - X1504ZA-NJ566 15.6 inç FHD (1920 x 1080) 16:9, i5-1235U, DDR4 8GB, 512GB M.2 NVMe PCIe 4.0 SSD, Intel UHD N/A, FreeDOS, Dizüstü Bilgisayar",14.49900 TL,https://m.media-amazon.com/images/I/51zyo-VeNSL._AC_UL320_.jpg,https://www.amazon.com.tr/ASUS-Vivobook-15-X1504ZA-NJ566-Bilgisayar/dp/B08HLQTYXW/ref=sr_1_4?dib=eyJ2IjoiMSJ9.cAStGyXY4Ttlop_Td9PZXiT8XUwEgMm5EFh6-h95Y1hWj9uUUBoaD8md3A4UjnjuIagUE3vJx3KnUi-JvH8cKk0HTEGAX8kO0Bhtc8QUjYa2l6_zy0ln6kP2qI_6Kxoh-nDmgMQKQl-tP6Q3U9i6Xdo8nrDd85-9hZEJrFyfJIHDVKHvBuVDoc8__xz73XZ515r2uBFMSt5cRM1v22ysRKWFcdViGJQCj0yZA6WUJqAwlS7Qbx81kqBIQYsncmEogGLZXwAk8vb032RdTv_eCvYz9uDT9D7To-w7UHkP2VrMV276jD3bNLuT6iBIwgFyMQ8yLp_hU-b_xy0aYApkCHejwbw8mlO-w_2rrCVVzck.Oyo7D-r7aZUqHTPMtdljGI-kKT6WVuVoCeztVUvTInw&dib_tag=se&qid=1738967976&s=computers&sr=1-4
"Asus Vivobook 15 X1504ZA-NJ180 Intel i5-1235U 16GB Ram 512GB SSD Intel Iris Xe Graphics 15.6"" Full HD FDOS Taşınabilir bilgisayar",14.99900 TL,https://m.media-amazon.com/images/I/514DRQG0T7L._AC_UL320_.jpg,https://www.amazon.com.tr/Vivobook-X1504ZA-NJ180-i5-1235U-Ta%C5%9F%C4%B1nabilir-bilgisayar/dp/B0DCYYFMYC/ref=sr_1_5?dib=eyJ2IjoiMSJ9.cAStGyXY4Ttlop_Td9PZXiT8XUwEgMm5EFh6-h95Y1hWj9uUUBoaD8md3A4UjnjuIagUE3vJx3KnUi-JvH8cKk0HTEGAX8kO0Bhtc8QUjYa2l6_zy0ln6kP2qI_6Kxoh-nDmgMQKQl-tP6Q3U9i6Xdo8nrDd85-9hZEJrFyfJIHDVKHvBuVDoc8__xz73XZ515r2uBFMSt5cRM1v22ysRKWFcdViGJQCj0yZA6WUJqAwlS7Qbx81kqBIQYsncmEogGLZXwAk8vb032RdTv_eCvYz9uDT9D7To-w7UHkP2VrMV276jD3bNLuT6iBIwgFyMQ8yLp_hU-b_xy0aYApkCHejwbw8mlO-w_2rrCVVzck.Oyo7D-r7aZUqHTPMtdljGI-kKT6WVuVoCeztVUvTInw&dib_tag=se&qid=1738967976&s=computers&sr=1-5
"MSI CYBORG 15 A13VF-894XTR Dizüstü Bilgisayar, Core I7-13620H, 15.6 FHD 144Hz, 16GB RAM, RTX4060 GDDR6 8GB, 1TB SSD, DOS",43.49900 TL,https://m.media-amazon.com/images/I/71l4M2y8zwL._AC_UL320_.jpg,https://www.amazon.com.tr/MSI-A13VF-894XTR-Diz%C3%BCst%C3%BC-Bilgisayar-I7-13620H/dp/B0CZ31GM8L/ref=sr_1_6?dib=eyJ2IjoiMSJ9.cAStGyXY4Ttlop_Td9PZXiT8XUwEgMm5EFh6-h95Y1hWj9uUUBoaD8md3A4UjnjuIagUE3vJx3KnUi-JvH8cKk0HTEGAX8kO0Bhtc8QUjYa2l6_zy0ln6kP2qI_6Kxoh-nDmgMQKQl-tP6Q3U9i6Xdo8nrDd85-9hZEJrFyfJIHDVKHvBuVDoc8__xz73XZ515r2uBFMSt5cRM1v22ysRKWFcdViGJQCj0yZA6WUJqAwlS7Qbx81kqBIQYsncmEogGLZXwAk8vb032RdTv_eCvYz9uDT9D7To-w7UHkP2VrMV276jD3bNLuT6iBIwgFyMQ8yLp_hU-b_xy0aYApkCHejwbw8mlO-w_2rrCVVzck.Oyo7D-r7aZUqHTPMtdljGI-kKT6WVuVoCeztVUvTInw&dib_tag=se&qid=1738967976&s=computers&sr=1-6
"HP 15 Dizüstü Bilgisayar, 15,6 inç FHD, Intel Core i3-1115G4, 8 GB Ram, 256 GB SSD, FreeDOS, Kömür Grisi, 2N2N7EA",10.89900 TL,https://m.media-amazon.com/images/I/812XsG-QIrL._AC_UL320_.jpg,https://www.amazon.com.tr/HP-Diz%C3%BCst%C3%BC-Bilgisayar-i3-1115G4-2N2N7EA/dp/B0CQRKSDYC/ref=sr_1_7?dib=eyJ2IjoiMSJ9.cAStGyXY4Ttlop_Td9PZXiT8XUwEgMm5EFh6-h95Y1hWj9uUUBoaD8md3A4UjnjuIagUE3vJx3KnUi-JvH8cKk0HTEGAX8kO0Bhtc8QUjYa2l6_zy0ln6kP2qI_6Kxoh-nDmgMQKQl-tP6Q3U9i6Xdo8nrDd85-9hZEJrFyfJIHDVKHvBuVDoc8__xz73XZ515r2uBFMSt5cRM1v22ysRKWFcdViGJQCj0yZA6WUJqAwlS7Qbx81kqBIQYsncmEogGLZXwAk8vb032RdTv_eCvYz9uDT9D7To-w7UHkP2VrMV276jD3bNLuT6iBIwgFyMQ8yLp_hU-b_xy0aYApkCHejwbw8mlO-w_2rrCVVzck.Oyo7D-r7aZUqHTPMtdljGI-kKT6WVuVoCeztVUvTInw&dib_tag=se&qid=1738967976&s=computers&sr=1-7
"Apple M2 çipli MacBook Air laptop 13.6 inç Liquid Retina ekran, 16GB RAM, 256 GB SSD depolama, arkadan aydınlatmalı klavye, 1080p FaceTime HD kamera. iPhone ve iPad ile uyumlu; Gece Yarısı",84.20430 TL,https://m.media-amazon.com/images/I/719C6bJv8jL._AC_UL320_.jpg,https://www.amazon.com.tr/Apple-MacBook-depolama-ayd%C4%B1nlatmal%C4%B1-FaceTime/dp/B0DLHMLFZL/ref=sr_1_8?dib=eyJ2IjoiMSJ9.cAStGyXY4Ttlop_Td9PZXiT8XUwEgMm5EFh6-h95Y1hWj9uUUBoaD8md3A4UjnjuIagUE3vJx3KnUi-JvH8cKk0HTEGAX8kO0Bhtc8QUjYa2l6_zy0ln6kP2qI_6Kxoh-nDmgMQKQl-tP6Q3U9i6Xdo8nrDd85-9hZEJrFyfJIHDVKHvBuVDoc8__xz73XZ515r2uBFMSt5cRM1v22ysRKWFcdViGJQCj0yZA6WUJqAwlS7Qbx81kqBIQYsncmEogGLZXwAk8vb032RdTv_eCvYz9uDT9D7To-w7UHkP2VrMV276jD3bNLuT6iBIwgFyMQ8yLp_hU-b_xy0aYApkCHejwbw8mlO-w_2rrCVVzck.Oyo7D-r7aZUqHTPMtdljGI-kKT6WVuVoCeztVUvTInw&dib_tag=se&qid=1738967976&s=computers&sr=1-8
"Apple M3 çipli 13 inç MacBook Air Laptop: 13.6 inç Liquid Retina Ekran, 16 GB Birleşik Bellek, 256 GB SSD Depolama, 1080p FaceTime HD Kamera, Touch ID. Uzay Grisi",46.99900 TL,https://m.media-amazon.com/images/I/71Yu0FBKPiL._AC_UL320_.jpg,https://www.amazon.com.tr/Apple-%C3%A7ipli-in%C3%A7-MacBook-Laptop/dp/B0DLHDC186/ref=sr_1_9?dib=eyJ2IjoiMSJ9.cAStGyXY4Ttlop_Td9PZXiT8XUwEgMm5EFh6-h95Y1hWj9uUUBoaD8md3A4UjnjuIagUE3vJx3KnUi-JvH8cKk0HTEGAX8kO0Bhtc8QUjYa2l6_zy0ln6kP2qI_6Kxoh-nDmgMQKQl-tP6Q3U9i6Xdo8nrDd85-9hZEJrFyfJIHDVKHvBuVDoc8__xz73XZ515r2uBFMSt5cRM1v22ysRKWFcdViGJQCj0yZA6WUJqAwlS7Qbx81kqBIQYsncmEogGLZXwAk8vb032RdTv_eCvYz9uDT9D7To-w7UHkP2VrMV276jD3bNLuT6iBIwgFyMQ8yLp_hU-b_xy0aYApkCHejwbw8mlO-w_2rrCVVzck.Oyo7D-r7aZUqHTPMtdljGI-kKT6WVuVoCeztVUvTInw&dib_tag=se&qid=1738967976&s=computers&sr=1-9
"Apple MacBook Pro Laptop, M4 Pro çip, 12 çekirdekli CPU ve 16 çekirdekli GPU’ya sahip: 14.2 inç Liquid Retina XDR Ekran, 24 GB Birleşik Bellek, 512GB SSD Depolama; Uzay Siyahı",38.79900 TL,https://m.media-amazon.com/images/I/618r76w5dGL._AC_UL320_.jpg,https://www.amazon.com.tr/Apple-MacBook-Laptop-%C3%A7ekirdekli-GPUya/dp/B0DLHCCM2J/ref=sr_1_10?dib=eyJ2IjoiMSJ9.cAStGyXY4Ttlop_Td9PZXiT8XUwEgMm5EFh6-h95Y1hWj9uUUBoaD8md3A4UjnjuIagUE3vJx3KnUi-JvH8cKk0HTEGAX8kO0Bhtc8QUjYa2l6_zy0ln6kP2qI_6Kxoh-nDmgMQKQl-tP6Q3U9i6Xdo8nrDd85-9hZEJrFyfJIHDVKHvBuVDoc8__xz73XZ515r2uBFMSt5cRM1v22ysRKWFcdViGJQCj0yZA6WUJqAwlS7Qbx81kqBIQYsncmEogGLZXwAk8vb032RdTv_eCvYz9uDT9D7To-w7UHkP2VrMV276jD3bNLuT6iBIwgFyMQ8yLp_hU-b_xy0aYApkCHejwbw8mlO-w_2rrCVVzck.Oyo7D-r7aZUqHTPMtdljGI-kKT6WVuVoCeztVUvTInw&dib_tag=se&qid=1738967976&s=computers&sr=1-10
