Product Name,Price,Link,Image,Reviews
"Lenovo V15 G4 AMN 82YU0123TX R5-7520U 16 GB 512 GB SSD 15.6"" Dos FHD Dizüstü Bilgisayar",13.848 TL,https://www.n11.com/urun/lenovo-v15-g4-amn-82yu0123tx-r5-7520u-16-gb-512-gb-ssd-156-dos-fhd-dizustu-bilgisayar-51598800,https://n11scdn.akamaized.net/a1/226_339/12/59/85/60/IMG-4913573474593445787.jpg,"25.01.2025 | Rating: 100 | Comment: Bu fiyata beklediğimden iyi performans veriyo, memnunum, 2 tane aldım. || 19.01.2025 | Rating: 100 | Comment: ekranda biraz goruntu kalitesi dusuk ama yinede islemcisine gore gayet iyi bir bilgisayar || 15.01.2025 | Rating: 100 | Comment: Ürün tam bir fiyat performans ürünü. Tavsiye ederim. Fiyatı uygunken almıştım hala makul fiyatta. || 10.01.2025 | Rating: 100 | Comment: Güzel bir ürün. f/p olarak değerlendirilebilir. || 09.01.2025 | Rating: 100 | Comment: sürekli alıyorum ama fiyatı bit anda artti düşündürmekteye basladi urunden memnunum ama fiyat kafa karıştırdı. || 06.01.2025 | Rating: 100 | Comment: Hızlı, beklentimi karşıladı. || 04.01.2025 | Rating: 100 | Comment: Alalı 1 ay oldu şimdilik gayet memnunum fiyat performans ürünü || 30.12.2024 | Rating: 100 | Comment: fiyat performans olarak güzel bilgisayar. farklı zamanlarda arkadaşlara da 3-4 adet aldım. ofis işlerinde gayet iyi tavsiye ederim."
"Apple MacBook Air MGN63TU/A Apple M1 8 GB 256 GB SSD 13.3"" MacOS Dizüstü Bilgisayar Gri",31.779 TL,https://www.n11.com/urun/apple-macbook-air-mgn63tua-apple-m1-8-gb-256-gb-ssd-133-macos-dizustu-bilgisayar-gri-1715113,https://n11scdn.akamaized.net/a1/226_339/11/13/59/28/IMG-878504967730529320.jpg,23.01.2025 | Rating: 100 | Comment: TEŞEKKÜRLER || 12.12.2024 | Rating: 100 | Comment: Başarılı || 12.11.2024 | Rating: 100 | Comment: TEŞEKKÜRLER || 10.11.2024 | Rating: 20 | Comment: Ürün şarj olmuyor ve satıcıya bu üründeki sorunu söylediğimde teknik servise yönlendiriliyorum. Tam bir hayal kırıklığı ayıplı ürün satın aldım. || 07.11.2024 | Rating: 100 | Comment: TEŞEKKÜRLER
"Monster Abra A5 V20.4 i5-12450H 16 GB 500 GB SSD 6 GB RTX 4050 15.6"" Dos FHD Dizüstü Bilgisayar",32.499 TL,https://www.n11.com/urun/monster-abra-a5-v204-i5-12450h-16-gb-500-gb-ssd-6-gb-rtx-4050-156-dos-fhd-dizustu-bilgisayar-43448129,https://n11scdn.akamaized.net/a1/226_339/14/84/59/08/IMG-1265821632211229120.jpg,"23.01.2025 | Rating: 80 | Comment: Gayet kullanışlı ve hızlı. Bataryası gömülü olmasa daha iyi olabilirmiş || 28.12.2024 | Rating: 100 | Comment: paketleme çok iyi sıkıntısız ulaştı kargou || 15.12.2024 | Rating: 100 | Comment: paketleme süper, hızlı kargo, oyun oynama imkan olmadı ama normal kullanımda bayağı hızlı, abartacak bir ses yok düşünmeden alabilirsiniz || 12.12.2024 | Rating: 100 | Comment: ürün çok iyi paketleme çok iyi teslimat çok hızlı bu fiyata alınabilecek iyi cihaz || 12.12.2024 | Rating: 100 | Comment: Dün sipariş verdim bu gün öğlen teslim aldım teşekkürler. || 07.12.2024 | Rating: 100 | Comment: Çok iyi || 23.11.2024 | Rating: 100 | Comment: cok memnun kaldik || 23.11.2024 | Rating: 80 | Comment: cok guzel uygun fiyat"
"Apple MacBook Air MGN93TU/A Apple M1 8 GB RAM 256 GB SSD 13.3"" MacOS Dizüstü Bilgisayar Gümüş",36.999 TL,https://www.n11.com/urun/apple-macbook-air-mgn93tua-apple-m1-8-gb-ram-256-gb-ssd-133-macos-dizustu-bilgisayar-gumus-1715066,https://n11scdn.akamaized.net/a1/226_339/10/09/89/18/IMG-2430797969301173647.jpg,"23.01.2025 | Rating: 100 | Comment: TEŞEKKÜRLER || 21.11.2024 | Rating: 100 | Comment: bir kaç aydır kullanıyorum, windows bilgisayarlardan sonra kullanımı zor geldi iphone kullanıcısı olmama rağmen çok farklı bi işletim sistemi var ve usb girişi yok dönüştürücü alarak hallettim onun dışında hoparlörü kamerası hızı vs gayet güzel || 12.11.2024 | Rating: 100 | Comment: TEŞEKKÜRLER || 09.11.2024 | Rating: 20 | Comment: Bilgisayar şarj sıkıntısı var şarjdan çekince kapanıyor ve icluod hesabı açılmıyor || 06.11.2024 | Rating: 100 | Comment: TEŞEKKÜRLER"
"Apple MacBook Air MGND3TU/A Apple M1 8 GB RAM 256 GB SSD 13.3"" MacOS Dizüstü Bilgisayar Altın",36.999 TL,https://www.n11.com/urun/apple-macbook-air-mgnd3tua-apple-m1-8-gb-ram-256-gb-ssd-133-macos-dizustu-bilgisayar-altin-1722257,https://n11scdn.akamaized.net/a1/226_339/08/67/58/92/IMG-6177865764838363534.jpg,03.02.2025 | Rating: 100 | Comment: çook güzel ürün || 23.01.2025 | Rating: 100 | Comment: TEŞEKKÜRLER
"Lenovo IdeaPad 3 15IAU7 82RK00X8TX i3-1215U 8 GB 256 GB SSD 15.6"" W11H FHD Dizüstü Bilgisayar",13.990 TL,https://www.n11.com/urun/lenovo-ideapad-3-15iau7-82rk00x8tx-i3-1215u-8-gb-256-gb-ssd-156-w11h-fhd-dizustu-bilgisayar-47580963,https://n11scdn.akamaized.net/a1/226_339/11/60/32/32/IMG-5914698265218045430.jpg,"29.01.2025 | Rating: 80 | Comment: güzel kullanışlı || 16.01.2025 | Rating: 100 | Comment: Güzel kaliteli || 04.01.2025 | Rating: 100 | Comment: Kutu açılımını yaptım , ve ürün şu anda şimdilik başarılı görünüyor .. fiyat performans ürünü.. || 27.12.2024 | Rating: 100 | Comment: Hiçbir sıkıntı yaşamadık. || 27.12.2024 | Rating: 100 | Comment: Sorunsuz || 24.12.2024 | Rating: 100 | Comment: Klasik işler için yeterli. Çok da bir şey beklemeyenler için ideal. || 23.12.2024 | Rating: 100 | Comment: Güzel telefon alın. || 19.12.2024 | Rating: 100 | Comment: Ofis isleri icin gayet yeterli || 30.11.2024 | Rating: 100 | Comment: Memnun kaldim || 24.11.2024 | Rating: 100 | Comment: Teşekkür ederim || 23.11.2024 | Rating: 100 | Comment: Süper fiyat || 20.11.2024 | Rating: 100 | Comment: Ürün ve kargo sorunsuz || 18.11.2024 | Rating: 100 | Comment: İdare eder iyi fiyat malum || 06.11.2024 | Rating: 100 | Comment: cok beğendim. işlevsel. || 27.10.2024 | Rating: 100 | Comment: teşekkürler || 16.10.2024 | Rating: 100 | Comment: f/p ürünü. Gayet başarılı. Teşekkürler"
"Lenovo LOQ 15IAX9 83GS007WTR i5-12450HX 8 GB 512 GB SSD RTX4050 15.6"" Dos Dizüstü Bilgisayar",35.999 TL,https://www.n11.com/urun/lenovo-loq-15iax9-83gs007wtr-i5-12450hx-8-gb-512-gb-ssd-rtx4050-156-dos-dizustu-bilgisayar-55043987,https://n11scdn.akamaized.net/a1/226_339/05/37/67/81/IMG-3286663117451925568.jpg,"25.01.2025 | Rating: 100 | Comment: Ürünü almadan önce yorumlarını ve muadil fiyatlardaki ürünleri kontrol etmiştim. Fiyat performans olarak çok çok iyi. Ekstra olarak 8 gb ram daha takviye ettim ve performansı takdire şayan durumda. İyi analiz ve iyi araştırma yaptığınızda bu ürünün fiyatına göre çok iyi olduğunu anlayacaksınız ve en uygun fiyatı bu satıcının yaptığını da görmüş olucaksınız 👍🏻 || 24.12.2024 | Rating: 100 | Comment: ürün sağlam ve hızlı gönderildi. içindeki ssd ve ramlerin kalitesi düşük ucuz ürünlerdi, değiştirdik. || 03.12.2024 | Rating: 100 | Comment: urunu 1 haftadir kullaniyorum gayet guzel kullanisli calistirmadigi oyun yok kasim indirimiyle birlikte 29 bin tl ye geldi urunun aynisi vatanda 46 bin tl su an ilk defa bu kadar yuksek rakamli alisveris yaptim indernetten iyiki almisim diyorum en onemlisi kesinlikle ram takviyesi yapin yoksa cihazi tam kapasite ile kullnamazsiniz windows kuramamaktan korkuyordum usb yi takip cihazi actim otomatik kuruluma basladi ayrica islemciye limit koyunca performansi daha verimli oluyor videolarinda gordum || 02.12.2024 | Rating: 100 | Comment: gayet güzel beğendim || 30.11.2024 | Rating: 100 | Comment: ürün beklediğim gibi geldi şuan için herhangi bir sorun görünmüyor. || 28.11.2024 | Rating: 100 | Comment: Gayet serin çalışan f/p bir laptop. İşlemci gücünü 40-45w civarına sınırlarsanız daha iyi verim alırsınız. || 13.11.2024 | Rating: 100 | Comment: ürün ekran kartı işlemcisi güzel, satıcı iyi || 11.11.2024 | Rating: 80 | Comment: gayet iyi ürün çok ufak bi ölü pixel çıktı fakat hiç sorun yaratacak gibi olamadığından iade etmedim ama laptop gayet iyi kesinlikle alınabilir bir ürün || 09.11.2024 | Rating: 100 | Comment: kaego hızlı, urun fiyat performansı guzel || 08.11.2024 | Rating: 100 | Comment: teşekkürler ilginize || 06.11.2024 | Rating: 100 | Comment: Çok beğendik || 05.11.2024 | Rating: 100 | Comment: Tam bir fiyat performans ürünü || 04.11.2024 | Rating: 80 | Comment: Üründe tek bir parça ölü piksel var ancak ihtiyacım olduğu için iade etmedim performansı güzel ancak siz kontrol edip bakın. || 27.10.2024 | Rating: 100 | Comment: Hafif işler için ideal. Kapalı kutusunda sağlam geldi sorun yok || 19.10.2024 | Rating: 100 | Comment: İhtiyacımi karşılayacak seviyede, solidworks, blender ve elegoo cura programlari kullanıyorum. İhtiyaçlarima cevap veriyor. Sadece ram 16 olsa daha iyi olur ama 8 benim işimi görüyor. Profesyonel seviyede kullanmıyorum o yüzden benim için gayet iyi. Isınma vs yok fan sesi çok nadir duydum. Ondada programı çok zorlamistim. || 09.10.2024 | Rating: 100 | Comment: Temiz sıkıntısız geldi.Siparisimin ertesi günü elimdeydi. Lenovo kalitesi zaten tartisilmaz."
"Acer Extensa 15 EX215-54 NX.EGJEY.00A i5-1135G7 8 GB 512 GB SSD 15.6"" Free Dos FHD Dizüstü Bilgisayar",14.499 TL,https://www.n11.com/urun/acer-extensa-15-ex215-54-nxegjey00a-i5-1135g7-8-gb-512-gb-ssd-156-free-dos-fhd-dizustu-bilgisayar-21752652,https://n11scdn.akamaized.net/a1/226_339/06/67/09/61/IMG-93420961240343643.jpg,"25.12.2024 | Rating: 100 | Comment: fp ürünü tavsiye ederim. || 17.12.2024 | Rating: 100 | Comment: Gönül rahatlığıyla alabilirsiniz güzel paketlenmiş ve bu paraya alınabilcek en iyi laptoplardan biri ince zarif ve şık rekabetçi oyunlarda işinizi görecektir || 14.12.2024 | Rating: 100 | Comment: Bu yorumu puan kazanmak için yazıyorum || 06.11.2024 | Rating: 100 | Comment: HIZLI KARGO, KALİTELİ ÜRÜN, TEŞEKKÜRLER.. || 02.11.2024 | Rating: 100 | Comment: ders çalışması için çocuğuma aldım güzel özellikleri vs || 16.10.2024 | Rating: 100 | Comment: F/p ürünü işimizi rahatlıkla görür || 28.09.2024 | Rating: 100 | Comment: çok memnun kaldım."
"HP 255 G8 7N4W6AA Ryzen 5 5500U 8 GB 256 GB SSD 15.6"" Free Dos FHD Dizüstü Bilgisayar","15.621,70 TL",https://www.n11.com/urun/hp-255-g8-7n4w6aa-ryzen-5-5500u-8-gb-256-gb-ssd-156-free-dos-fhd-dizustu-bilgisayar-34692962,https://n11scdn.akamaized.net/a1/226_339/04/98/78/44/IMG-3187664426279719910.jpg,20.10.2024 | Rating: 100 | Comment: Mağazadan çok memnun kaldım. || 09.08.2024 | Rating: 100 | Comment: iş görüyor || 27.07.2024 | Rating: 100 | Comment: kesinlikle tavsiye ederim || 03.06.2024 | Rating: 100 | Comment: güzel ürün || 01.04.2024 | Rating: 100 | Comment: Öğrenci işi || 28.03.2024 | Rating: 100 | Comment: tesekkurler || 29.02.2024 | Rating: 100 | Comment: guzel || 16.01.2024 | Rating: 100 | Comment: fiyat performans ürünü.Günlük işleri ve bazı oyunları düşük ayarda oynayabilirsiniz.Dahili grafik işlemcisi iyi.İlgili satıcı kısa zamanda gönderdi.Memnunum
"Lenovo V15 G3 IAP 82TT008PTX i5-1235U 16 GB 512 GB SSD 15.6"" Dos FHD Dizüstü Bilgisayar",16.668 TL,https://www.n11.com/urun/lenovo-v15-g3-iap-82tt008ptx-i5-1235u-16-gb-512-gb-ssd-156-dos-fhd-dizustu-bilgisayar-36811661,https://n11scdn.akamaized.net/a1/226_339/04/39/10/82/IMG-7066038058347530378.jpg,27.01.2025 | Rating: 100 | Comment: Güzel ve kaliteli ürün. || 18.01.2025 | Rating: 100 | Comment: Bilgisayar gerçekten çok iyi. Hızı ve görüntü kalitesi tatmin edici düzeyde. Sorunsuz bir şekilde teslim aldım || 10.01.2025 | Rating: 100 | Comment: begendimgim bir ürün || 16.12.2024 | Rating: 100 | Comment: hızlı satıcı || 11.12.2024 | Rating: 100 | Comment: İş bilgisayarı olarak ideal yeterli oluyor. || 10.12.2024 | Rating: 100 | Comment: Fiyatına göre başarılı bir ürün. Ev ve ofiste kullanılabilir. || 18.11.2024 | Rating: 100 | Comment: kargo icn az daha dikkat edilmeli sonucta kurulabilecek ürün neme maruz kalmış ama sikinti yok tek sıkıntı benim anlayamadigim garanti surem başlayalı 1 sene olmuş ürünün karekodunu okutuyorum garanti başlangıcı gecen sneeden gösteriyor ne alaka bilmiyorum ama sorun olurmu olmazmi bilmiyorum suanda bi sikint yok kurulm olmadan geliyor hersey bombos windosu siz yukluyorsunuz oyun icin kullanilmaz ama evrak icin fazla bile || 18.11.2024 | Rating: 100 | Comment: teşekkürler
